"date","nburrows","year"
2015-04-27,1,"2015"
2015-04-28,1,"2015"
2015-04-29,0,"2015"
2015-04-30,0,"2015"
2015-05-01,0,"2015"
2015-05-02,0,"2015"
2015-05-03,0,"2015"
2015-05-04,0,"2015"
2015-05-05,0,"2015"
2015-05-06,2,"2015"
2015-05-07,2,"2015"
2015-05-08,1,"2015"
2015-05-09,1,"2015"
2015-05-10,2,"2015"
2015-05-11,1,"2015"
2015-05-12,3,"2015"
2015-05-13,2,"2015"
2015-05-14,3,"2015"
2015-05-15,4,"2015"
2015-05-16,2,"2015"
2015-05-17,3,"2015"
2015-05-18,5,"2015"
2015-05-19,3,"2015"
2015-05-20,2,"2015"
2015-05-21,2,"2015"
2015-05-22,1,"2015"
2015-05-23,4,"2015"
2015-05-24,4,"2015"
2015-05-25,1,"2015"
2015-05-26,2,"2015"
2015-05-27,5,"2015"
2015-05-28,1,"2015"
2015-05-29,4,"2015"
2015-05-30,0,"2015"
2015-05-31,5,"2015"
2015-06-01,2,"2015"
2015-06-02,3,"2015"
2015-06-03,0,"2015"
2015-06-04,3,"2015"
2015-06-05,6,"2015"
2015-06-06,2,"2015"
2015-06-07,3,"2015"
2015-06-08,1,"2015"
2015-06-09,2,"2015"
2015-06-10,0,"2015"
2015-06-11,0,"2015"
2015-06-12,3,"2015"
2015-06-13,1,"2015"
2015-06-14,4,"2015"
2015-06-15,1,"2015"
2015-06-16,1,"2015"
2015-06-17,2,"2015"
2015-06-18,1,"2015"
2015-06-19,1,"2015"
2015-06-20,1,"2015"
2015-06-21,2,"2015"
2015-06-22,1,"2015"
2015-06-23,1,"2015"
2015-06-24,1,"2015"
2015-06-25,1,"2015"
2015-06-26,1,"2015"
2015-06-27,1,"2015"
2015-06-28,1,"2015"
2015-06-29,1,"2015"
2015-06-30,1,"2015"
2015-07-01,0,"2015"
2015-07-02,0,"2015"
2015-07-03,0,"2015"
2015-07-04,1,"2015"
2015-07-05,1,"2015"
2016-05-03,1,"2016"
2016-05-04,0,"2016"
2016-05-05,0,"2016"
2016-05-06,1,"2016"
2016-05-07,4,"2016"
2016-05-08,6,"2016"
2016-05-09,4,"2016"
2016-05-10,2,"2016"
2016-05-11,3,"2016"
2016-05-12,3,"2016"
2016-05-13,6,"2016"
2016-05-14,0,"2016"
2016-05-15,4,"2016"
2016-05-16,7,"2016"
2016-05-17,5,"2016"
2016-05-18,7,"2016"
2016-05-19,3,"2016"
2016-05-20,3,"2016"
2016-05-21,5,"2016"
2016-05-22,5,"2016"
2016-05-23,6,"2016"
2016-05-24,2,"2016"
2016-05-25,7,"2016"
2016-05-26,5,"2016"
2016-05-27,7,"2016"
2016-05-28,2,"2016"
2016-05-29,3,"2016"
2016-05-30,2,"2016"
2016-05-31,0,"2016"
2016-06-01,5,"2016"
2016-06-02,4,"2016"
2016-06-03,9,"2016"
2016-06-04,3,"2016"
2016-06-05,2,"2016"
2016-06-06,1,"2016"
2016-06-07,3,"2016"
2016-06-08,4,"2016"
2016-06-09,5,"2016"
2016-06-10,3,"2016"
2016-06-11,2,"2016"
2016-06-12,4,"2016"
2016-06-13,4,"2016"
2016-06-14,1,"2016"
2016-06-15,5,"2016"
2016-06-16,5,"2016"
2016-06-17,5,"2016"
2016-06-18,3,"2016"
2016-06-19,1,"2016"
2016-06-20,0,"2016"
2016-06-21,2,"2016"
2016-06-22,5,"2016"
2016-06-23,3,"2016"
2016-06-24,2,"2016"
2016-06-25,3,"2016"
2016-06-26,2,"2016"
2016-06-27,4,"2016"
2016-06-28,1,"2016"
2016-06-29,1,"2016"
2016-06-30,0,"2016"
2016-07-01,0,"2016"
2016-07-02,3,"2016"
2016-07-03,0,"2016"
2016-07-04,0,"2016"
2016-07-05,1,"2016"
2016-07-06,1,"2016"
2016-07-07,1,"2016"
